Date,Open,High,Low,Close,Adj Close,Volume,Percent_Change
2004/1/2,0.384820998,0.388393015,0.378214002,0.379999995,0.321272016,144642400,-1.252790911
2004/1/5,0.382499993,0.399821013,0.382499993,0.395893008,0.33470884,395018400,3.501441809
2004/1/6,0.397320986,0.400357008,0.387679011,0.394463986,0.333500713,509348000,-0.719065878
2004/1/7,0.394643009,0.407678992,0.391606987,0.403393,0.341049641,586874400,2.217191604
2004/1/8,0.407857001,0.423750013,0.404464006,0.417142987,0.352674752,460303200,2.276775047
2004/1/9,0.414820999,0.430893004,0.406964004,0.410714,0.347239316,427459200,-0.990065222
2004/1/12,0.415179014,0.428570986,0.412499994,0.423750013,0.358260602,487547200,2.064410438
2004/1/13,0.441071004,0.443571001,0.426070988,0.430714011,0.364148319,679016800,-2.348146307
2004/1/14,0.435714006,0.438214004,0.42464301,0.432143003,0.365356475,620043200,-0.819575139
2004/1/15,0.409107,0.417856991,0.401786,0.408035994,0.344975203,1018208800,-0.261791184
2004/1/16,0.408749998,0.411428988,0.403750002,0.405714005,0.343012065,372820000,-0.742750435
2004/1/20,0.404821008,0.407142997,0.397320986,0.405892998,0.343163311,315946400,0.264805806
2004/1/21,0.405357003,0.410178989,0.400536001,0.403750002,0.341351569,226660000,-0.396440869
2004/1/22,0.402857006,0.407678992,0.396070987,0.396070987,0.334859282,205004800,-1.684473279
2004/1/23,0.400357008,0.406071007,0.397320986,0.402857006,0.340596527,227169600,0.624442077
2004/1/26,0.401071012,0.41178599,0.400536001,0.410892993,0.347390622,271269600,2.448938192
2004/1/27,0.411428988,0.415179014,0.407142997,0.411963999,0.348295987,307070400,0.130037335
2004/1/28,0.407857001,0.417499989,0.400178999,0.402143002,0.33999294,275402400,-1.400981045
2004/1/29,0.404107004,0.407142997,0.39625001,0.405000001,0.342408299,212699200,0.22098028
2004/1/30,0.404464006,0.408392996,0.400357008,0.402857006,0.340596527,185298400,-0.397316152
2004/2/2,0.401071012,0.407321006,0.394286007,0.398571014,0.336972922,287431200,-0.623330418
2004/2/3,0.398214012,0.400000006,0.392856985,0.397500008,0.336067557,180812800,-0.179301586
2004/2/4,0.392856985,0.394463986,0.387499988,0.389106989,0.328971654,305552800,-0.954544927
2004/2/5,0.389643013,0.409107,0.389463991,0.400357008,0.338482946,352844800,2.749695011
2004/2/6,0.400893003,0.408749998,0.400000006,0.405535996,0.342861563,193340000,1.158162697
2004/2/9,0.403928995,0.408214003,0.401786,0.404821008,0.342257082,188260800,0.220834187
2004/2/10,0.403928995,0.412856996,0.40071401,0.410356998,0.346937537,255343200,1.591369619
2004/2/11,0.412321001,0.426250011,0.411606997,0.425000012,0.359317482,348544000,3.075033915
2004/2/12,0.421606988,0.428393006,0.421429008,0.423750013,0.358260602,183988000,0.508299307
2004/2/13,0.425893009,0.430357009,0.407678992,0.410714,0.347239316,315980000,-3.564042596
2004/2/17,0.412499994,0.419463992,0.412499994,0.413571,0.349654764,170956800,0.259637836
2004/2/18,0.413928986,0.418570995,0.411606997,0.415356994,0.351164848,141635200,0.344988665
2004/2/19,0.416606992,0.422143012,0.400178999,0.401250005,0.339237869,323080800,-3.686204983
2004/2/20,0.401786,0.401964009,0.396607012,0.400000006,0.338181198,277603200,-0.444513641
2004/2/23,0.398929,0.401071012,0.390893012,0.39625001,0.335010618,194079200,-0.671545655
2004/2/24,0.395357013,0.406071007,0.392856985,0.399286002,0.337577462,259056000,0.993782593
2004/2/25,0.39785701,0.40892899,0.396607012,0.407321006,0.344370782,276276000,2.378742978
2004/2/26,0.408571005,0.413928986,0.407142997,0.411428988,0.347843736,198408000,0.699507082
2004/2/27,0.409999996,0.428929001,0.409821004,0.427143008,0.361129135,468837600,4.181222254
2004/3/1,0.430357009,0.433928996,0.426250011,0.428929001,0.362639278,321680800,-0.331819408
